name,desc,star,fork,created_at,updated_at,lang
reduxjs/redux-toolkit,"The official, opinionated, batteries-included toolset for efficient Redux development",10214,1092,2018-03-03T21:21:53Z,2024-01-29T20:59:50Z,TypeScript
typestack/class-validator,Decorator-based property validation for classes.,10207,750,2015-10-03T13:27:09Z,2024-01-29T20:23:53Z,TypeScript
Netflix/pollyjs,"Record, Replay, and Stub HTTP Interactions.",10176,392,2018-05-31T20:39:44Z,2024-01-27T09:06:23Z,JavaScript
gregberge/svgr,Transform SVGs into React components 🦁,10174,447,2017-09-01T21:38:42Z,2024-01-30T03:04:22Z,TypeScript
r-spacex/SpaceX-API,":rocket: Open Source REST API for SpaceX launch, rocket, core, capsule, starlink, launchpad, and landing pad data.",10172,953,2017-06-19T19:04:23Z,2024-01-29T17:52:34Z,JavaScript
cmiscm/leonsans,Leon Sans is a geometric sans-serif typeface made with code in 2019 by Jongmin Kim.,10166,537,2019-07-28T19:29:16Z,2024-01-30T05:39:41Z,JavaScript
actualbudget/actual,A local-first personal finance app,10147,810,2022-04-29T02:41:34Z,2024-01-29T22:58:44Z,TypeScript
react-dropzone/react-dropzone,Simple HTML5 drag-drop zone with React.js.,10143,816,2014-09-27T11:57:09Z,2024-01-29T12:58:22Z,JavaScript
steven-tey/novel,Notion-style WYSIWYG editor with AI-powered autocompletion.,10072,963,2023-03-21T21:14:33Z,2024-01-30T03:14:38Z,TypeScript
vuejs/vitepress,Vite & Vue powered static site generator.,10064,1686,2020-04-30T23:16:17Z,2024-01-30T05:42:38Z,TypeScript
reactjs/react-transition-group,An easy way to perform animations when a React component enters or leaves the DOM,10029,697,2016-11-20T19:29:24Z,2024-01-29T14:04:53Z,JavaScript
acornjs/acorn,"A small, fast, JavaScript-based JavaScript parser",10016,963,2012-09-24T10:05:00Z,2024-01-29T19:44:39Z,JavaScript
James-Yu/LaTeX-Workshop,"Boost LaTeX typesetting efficiency with preview, compile, autocomplete, colorize, and more.",10011,514,2016-12-26T08:23:24Z,2024-01-29T23:28:33Z,TypeScript
akveo/react-native-ui-kitten,:boom: React Native UI Library based on Eva Design System  :new_moon_with_face::sparkles:Dark Mode,9992,962,2016-12-20T08:22:38Z,2024-01-29T19:22:44Z,TypeScript
askmike/gekko,A bitcoin trading bot written in node - https://gekko.wizb.it/,9985,4018,2013-05-12T22:52:01Z,2024-01-29T14:48:13Z,JavaScript
VickScarlet/lifeRestart,やり直すんだ。そして、次はうまくやる。,9952,2347,2021-08-15T02:41:53Z,2024-01-30T02:49:50Z,JavaScript
scottjehl/picturefill,"A responsive image polyfill for <picture>, srcset, sizes, and more",9938,1106,2012-02-21T08:35:14Z,2024-01-29T07:57:01Z,JavaScript
tsayen/dom-to-image,Generates an image from a DOM node using HTML5 canvas,9925,1699,2015-04-17T19:47:01Z,2024-01-29T07:57:06Z,JavaScript
mongodb/node-mongodb-native,The Official MongoDB Node.js Driver,9915,1811,2010-01-07T12:50:50Z,2024-01-29T09:17:14Z,TypeScript
addyosmani/critical,Extract & Inline Critical-path CSS in HTML pages,9911,458,2014-06-28T09:31:42Z,2024-01-29T12:30:52Z,JavaScript
Unleash/unleash,Open-source feature management solution built for developers.,9909,631,2014-09-29T12:50:46Z,2024-01-29T16:43:53Z,TypeScript
helmetjs/helmet,Help secure Express apps with various HTTP headers,9899,411,2012-02-01T22:54:45Z,2024-01-29T11:15:24Z,TypeScript
szimek/signature_pad,HTML5 canvas based smooth signature drawing,9882,2038,2013-03-15T17:59:57Z,2024-01-30T01:47:31Z,TypeScript
aFarkas/html5shiv,This script is the defacto way to enable use of HTML5 sectioning elements in legacy Internet Explorer.,9880,2740,2011-02-12T12:21:10Z,2024-01-29T08:07:13Z,JavaScript
hakanyalcinkaya/kodluyoruz-frontend-101-egitimi,Kodluyoruz için Hazırladığım Video Eğitim Seti Repo'sudur. Tüm Eğitimlerime: https://linktr.ee/hakanyalcinkaya adresinden ulaşabilirsiniz.,9875,4069,2020-12-23T10:08:51Z,2024-01-29T20:54:16Z,JavaScript
keplergl/kepler.gl,Kepler.gl is a powerful open source geospatial analysis tool for large-scale data sets.,9872,1681,2018-02-28T21:36:16Z,2024-01-29T17:26:03Z,TypeScript
electerm/electerm,"📻Terminal/ssh/telnet/serialport/sftp client(linux, mac, win)",9865,887,2017-10-07T09:54:11Z,2024-01-30T03:54:43Z,JavaScript
shuding/nextra,"Simple, powerful and flexible site generation framework with everything you love from Next.js.",9857,1106,2020-06-15T16:39:34Z,2024-01-30T05:51:40Z,TypeScript
aui/art-template,High performance JavaScript templating engine,9837,2757,2012-06-03T03:37:57Z,2024-01-27T10:02:53Z,JavaScript
langchain-ai/langchainjs,,9834,1664,2023-02-06T22:50:27Z,2024-01-30T05:07:00Z,TypeScript
snapappointments/bootstrap-select,":rocket: The jQuery plugin that brings select elements into the 21st century with intuitive multiselection, searching, and much more.",9822,2764,2012-09-26T20:56:59Z,2024-01-29T16:22:05Z,JavaScript
vercel/commerce,Next.js Commerce,9808,3590,2020-10-26T22:30:00Z,2024-01-30T03:21:24Z,TypeScript
Nozbe/WatermelonDB,🍉 Reactive & asynchronous database for powerful React and React Native apps ⚡️,9801,576,2018-08-28T15:32:05Z,2024-01-30T00:01:25Z,JavaScript
boardgameio/boardgame.io,State Management and Multiplayer Networking for Turn-Based Games,9795,741,2017-11-21T23:47:35Z,2024-01-29T20:38:08Z,TypeScript
senchalabs/connect,Connect is a middleware layer for Node.js,9753,1148,2010-05-26T18:55:41Z,2024-01-29T19:21:25Z,JavaScript
Automattic/node-canvas,Node canvas is a Cairo backed Canvas implementation for NodeJS.,9738,1184,2010-09-29T17:31:21Z,2024-01-30T05:24:58Z,JavaScript
getgridea/gridea,✍️ A static blog writing client (一个静态博客写作客户端),9733,798,2018-03-23T02:13:21Z,2024-01-28T15:21:24Z,TypeScript
sdelements/lets-chat,Self-hosted chat app for small teams,9732,1614,2012-03-09T19:32:33Z,2024-01-27T21:30:47Z,JavaScript
DevExpress/testcafe,A Node.js tool to automate end-to-end web testing.,9727,699,2015-04-20T13:43:28Z,2024-01-30T02:48:19Z,JavaScript
ds300/patch-package,Fix broken node modules instantly  🏃🏽‍♀️💨,9720,270,2017-05-08T20:31:20Z,2024-01-30T04:10:17Z,TypeScript
